CTR,SUMLEV,COUNTY,TRACT,BG,POP_TOTAL,HU_TOTAL,pop.0to5.yrs,pop.6to11.yrs,pop.12to17.yrs,pop.18to24.yrs,pop.25to44.yrs,pop.45to54.yrs,pop.55to64.yrs,pop.65plus,pop.65to74.yrs,pop.75plus,Composite.MOS,BG.prob,Wrkld.18to24.yrs,Wrkld.25to44.yrs,Wrkld.45to54.yrs,Wrkld.55to64.yrs,Wrkld.65plus,Total.wrkld
292,150,3,750803,1,2797,1251,235,238,210,294,1156,250,155,199,92,107,5.120331136,0.128008278,11.64432397,11.22240082,5.450964148,5.306480214,6.37583085,40
293,150,3,750803,2,1110,414,132,97,76,42,349,135,127,130,112,18,2.113170788,0.05282927,4.030692706,8.209502104,7.132315319,10.53518149,10.09230838,40
294,150,3,750803,3,1197,430,200,142,96,163,350,98,54,71,44,27,2.062716887,0.051567922,16.02555127,8.434404211,5.304174663,4.58909486,5.646774998,40
295,150,3,750803,4,1619,781,95,152,109,156,712,112,118,204,126,78,3.34210662,0.083552666,9.466060921,10.5897494,3.741356453,6.189201267,10.01363196,40
296,150,3,750804,1,1456,551,172,166,83,115,608,126,100,192,67,125,2.915973373,0.072899334,7.997961034,10.36444414,4.82412282,6.011589888,10.80188211,40
297,150,3,750804,2,2494,942,111,158,213,202,627,357,310,399,323,76,5.794685224,0.144867131,7.069464492,5.378531066,6.878119733,9.377881563,11.29600315,40
298,150,3,750900,1,718,351,31,72,74,57,226,43,27,119,54,65,1.29623423,0.032405856,8.917772056,8.666643719,3.703533989,3.651347589,15.06070265,40
299,150,3,750900,2,1050,422,66,68,124,61,329,184,76,115,49,66,2.036386391,0.05090966,6.074837238,8.03085347,10.08762669,6.54223749,9.264445114,40
300,150,3,750900,3,1296,517,95,72,88,85,377,197,176,296,109,187,3.434575679,0.085864392,5.018926468,5.45624986,6.403604496,8.982815438,14.13840374,40
301,150,3,751000,1,1375,539,103,97,73,107,373,187,147,234,150,84,3.131862787,0.07829657,6.92860892,5.920141611,6.666075758,8.227871632,12.25730208,40
302,150,3,751000,2,1089,355,80,72,55,85,324,152,78,281,76,205,2.752118672,0.068802967,6.26349545,5.851993611,6.166060705,4.968214579,16.75023566,40
303,150,3,751000,3,1346,536,82,123,155,112,421,208,132,124,70,54,2.758595357,0.068964884,8.233699621,7.586126578,8.417956922,8.388007872,7.374209007,40
304,150,3,751102,1,2178,1106,112,95,62,173,722,366,232,345,226,119,5.22753409,0.130688352,6.711417051,6.865407402,7.816558395,7.779720785,10.82689637,40
305,150,3,751102,2,1284,511,91,109,91,61,414,133,175,205,174,31,2.802646724,0.070066168,4.4139405,7.342737002,5.298032865,10.94567603,11.9996136,40
306,150,3,751103,1,1473,538,132,146,103,97,506,187,148,142,75,67,2.873504728,0.071837618,6.845809594,8.753154433,7.265425528,9.028647522,8.106962923,40
307,150,3,751103,2,1262,467,80,57,139,85,369,129,292,138,84,54,3.095194747,0.077379869,5.569240125,5.926037242,4.653000461,16.53742056,7.314301616,40
308,150,3,751103,3,1910,815,99,211,191,203,726,241,118,151,54,97,3.740472338,0.093511808,11.00612873,9.647974866,7.193197096,5.530042375,6.622656935,40
309,150,3,751103,4,978,411,16,51,138,106,252,142,66,182,119,63,2.282585046,0.057064626,9.417679247,5.48781627,6.945327696,5.068621563,13.08055522,40
